"Name","Code","Site","RecorderID","Date","Year","Month","Day","Hour","Minute","Duration","msldB_bio","BioPh","AthPh","NDSI","HvSPL","ACI","ADI","AEI","Mamp","mdBGL"
"SUM06_20260117_050000.wav","SUM06","SU","M06","20260117","2026","01","17","050000",0,60,-120.746955731055,5.54446854934326e-13,8.73841832121451e-13,-0.223620742838421,0.999906199022782,105.231596088184,2.19720584435514,0.00329520416082691,-141.110090844772,-160.204733127408
"SUM06_20260117_050000.wav","SUM06","SU","M06","20260117","2026","01","17","050000",1,60,-120.785571615063,5.41532317565678e-13,1.05358613384735e-12,-0.321013035632604,0.999900163817739,105.224378230312,2.19721861745539,0.00186564339955177,-141.129711544479,-160.595986394785
"SUM06_20260117_050000.wav","SUM06","SU","M06","20260117","2026","01","17","050000",2,59.9546485260771,-120.649980190317,5.33106648335704e-13,1.04372116834731e-12,-0.32382389161914,0.999414977846879,105.878623800917,2.1963889997617,0.0224139672870331,-141.115359726301,-159.742056420402
"SUM06_20260117_050900.wav","SUM06","SU","M06","20260117","2026","01","17","050900",0,60,-120.211306296292,6.3414801166047e-13,1.16019460709373e-12,-0.293169537375471,0.999862637138259,107.931690369364,2.19697745913859,0.0120939336433952,-140.750290926587,-159.515855178386
"SUM06_20260117_050900.wav","SUM06","SU","M06","20260117","2026","01","17","050900",1,60,-120.808038074713,5.50353375106199e-13,8.1932147783706e-13,-0.196373688363251,0.999913616965832,105.022267400936,2.19722415642499,0.000507252321821225,-141.115451243954,-159.746489432171
"SUM06_20260117_050900.wav","SUM06","SU","M06","20260117","2026","01","17","050900",2,59.9546485260771,-118.602408306589,1.05172050069304e-12,1.10012957192698e-12,-0.0224964888817741,0.998148291824872,105.617562495941,2.19691498882646,0.013551050937724,-140.629502317973,-160.074991258525
"SUM06_20260117_051800.wav","SUM06","SU","M06","20260117","2026","01","17","051800",0,60,-120.163977835058,5.83994990451727e-13,1.58542455910404e-12,-0.461611756406167,0.999885482788161,105.447161685695,2.19720011707039,0.00381122044323905,-140.628527485552,-159.443285581181
"SUM06_20260117_051800.wav","SUM06","SU","M06","20260117","2026","01","17","051800",1,60,-120.471915488185,5.55449004391461e-13,1.41917828728023e-12,-0.43741382818504,0.999893679137277,104.958081153855,2.19719592878801,0.00411384935568155,-140.857975491132,-160.08563693271
"SUM06_20260117_051800.wav","SUM06","SU","M06","20260117","2026","01","17","051800",2,59.9546485260771,-120.262056843197,5.81513750612389e-13,2.6651751109948e-12,-0.641780425904732,0.999878979897369,105.080632805641,2.19722224322088,0.00117105017982687,-140.69247516519,-160.218415096963
"SUM06_20260117_052700.wav","SUM06","SU","M06","20260117","2026","01","17","052700",0,60,-119.764674601894,6.69229381015025e-13,1.68561381361437e-12,-0.431614484954826,0.999817373611305,104.329806977009,2.17743751656353,0.108186196227877,-140.521990507101,-159.806114101903
"SUM06_20260117_052700.wav","SUM06","SU","M06","20260117","2026","01","17","052700",1,60,-119.976990290347,6.14277148778926e-13,2.24683593327773e-12,-0.570602677236814,0.999872664925461,104.98318292854,2.19719831416269,0.00393507143092246,-140.388714198246,-159.35958111579
"SUM06_20260117_052700.wav","SUM06","SU","M06","20260117","2026","01","17","052700",2,59.9546485260771,-117.924009892834,7.3564975431699e-13,7.01068654744265e-12,-0.810065113194251,0.998799874740314,105.06431036683,2.19610467009877,0.0255944217747446,-139.740899368291,-158.752289201773
"SUM06_20260117_053600.wav","SUM06","SU","M06","20260117","2026","01","17","053600",0,60,-120.051972376733,6.333444812262e-13,2.66269297556624e-12,-0.615693395764657,0.99990264865293,105.528462151298,2.19721715755683,0.00210575071584233,-140.374778011773,-158.655834774802
"SUM06_20260117_053600.wav","SUM06","SU","M06","20260117","2026","01","17","053600",1,60,-120.224201211701,6.16920967857187e-13,2.24014063222108e-12,-0.568143040499872,0.999902791690198,105.15064712101,2.19722387957198,0.000657292615342876,-140.52775325111,-159.257478569355
"SUM06_20260117_053600.wav","SUM06","SU","M06","20260117","2026","01","17","053600",2,59.9546485260771,-120.294059487577,6.0555071938963e-13,4.14167786210021e-12,-0.744882426032417,0.999919281789833,105.157412847366,2.19722261873094,0.00107891821048373,-140.615720777409,-159.420404405097
"SUM06_20260117_054500.wav","SUM06","SU","M06","20260117","2026","01","17","054500",0,60,-120.44806173389,5.7901994808841e-13,1.42576957436125e-12,-0.42236335375406,0.999908647891918,105.145472018983,2.1972237058693,0.000707537768023335,-140.760347861191,-159.338632833718
"SUM06_20260117_054500.wav","SUM06","SU","M06","20260117","2026","01","17","054500",1,60,-120.096494735868,6.09357533124469e-13,2.15785249996127e-12,-0.559587074462165,0.999912890516455,105.012124397719,2.19722379952487,0.000690336507140898,-140.407264058795,-160.229882319013
"SUM06_20260117_054500.wav","SUM06","SU","M06","20260117","2026","01","17","054500",2,59.9546485260771,-119.647619956194,6.30081508752863e-13,4.62478551971033e-12,-0.760191264463971,0.99984181982972,105.252982806498,2.1967170306646,0.0173270670048247,-140.237536941752,-159.585324456471
"SUM06_20260117_055400.wav","SUM06","SU","M06","20260117","2026","01","17","055400",0,60,-120.099947972444,6.18356595917152e-13,2.13285788938258e-12,-0.550484631989871,0.999900307777067,105.169786380715,2.19721853230998,0.00189952131597594,-140.482894896383,-159.453821659454
"SUM06_20260117_055400.wav","SUM06","SU","M06","20260117","2026","01","17","055400",1,60,-119.961464247426,6.50502917376528e-13,4.90058023621402e-12,-0.76563027453272,0.999877184572162,105.837647611773,2.19714257079074,0.00695755675092574,-140.426233884322,-159.010571125046
