"Name","Code","Site","RecorderID","Date","Year","Month","Day","Hour","Minute","Duration","msldB_bio","BioPh","AthPh","NDSI","HvSPL","ACI","ADI","AEI","Mamp","mdBGL"
"BOA06_20260117_050000.wav","BOA06","BO","A06","20260117","2026","01","17","050000",0,60,-99.5500116691184,7.01804288561206e-11,5.25073884885362e-08,-0.997330404189422,0.9999141982498,105.216596906046,2.19719938015499,0.00356515025100437,-119.895513682231,-137.440000684078
"BOA06_20260117_050000.wav","BOA06","BO","A06","20260117","2026","01","17","050000",1,60,-99.5329585987462,6.86265271811385e-11,5.33032925370136e-08,-0.997428365762955,0.999897820338536,105.514723058642,2.1971725746086,0.00512386559590914,-119.902915790698,-137.179081915204
"BOA06_20260117_050000.wav","BOA06","BO","A06","20260117","2026","01","17","050000",2,59.995283446712,-99.5025658530128,6.70735778848738e-11,5.31874909794305e-08,-0.997481020511859,0.999347782725245,105.220793083568,2.19699917706412,0.0107677834699413,-119.887410799126,-137.441961548485
"BOA06_20260117_050900.wav","BOA06","BO","A06","20260117","2026","01","17","050900",0,60,-99.220288227637,7.67155341423816e-11,5.2351653056322e-08,-0.997073510536189,0.99983031717156,107.964552683852,2.19687350534315,0.0131262781491493,-119.778199715821,-136.653337683509
"BOA06_20260117_050900.wav","BOA06","BO","A06","20260117","2026","01","17","050900",1,60,-99.7491671988831,6.70124557537073e-11,5.24362807108374e-08,-0.997447304665592,0.999912073676702,104.935780740952,2.19722279597273,0.000917203111376589,-120.073483700404,-137.540128368637
"BOA06_20260117_050900.wav","BOA06","BO","A06","20260117","2026","01","17","050900",2,59.995283446712,-98.007724705513,1.10768916417619e-10,5.32425051116799e-08,-0.995847718122817,0.998384315413502,105.409145034367,2.19692988943989,0.0121223869622579,-119.544923804591,-136.856020995173
"BOA06_20260117_051800.wav","BOA06","BO","A06","20260117","2026","01","17","051800",0,60,-99.133858326327,6.7014900713292e-11,5.4871689463085e-08,-0.997560375640841,0.99983924301068,104.296785119682,2.19691850229706,0.012512342165086,-119.764641934538,-137.47899631199
"BOA06_20260117_051800.wav","BOA06","BO","A06","20260117","2026","01","17","051800",1,60,-99.3881553395541,6.49509138980158e-11,5.60824940487245e-08,-0.99768641604471,0.999862021765875,104.315165483542,2.19666566164824,0.0169294614788838,-119.931677003076,-137.236291678089
"BOA06_20260117_051800.wav","BOA06","BO","A06","20260117","2026","01","17","051800",2,59.995283446712,-99.529583553986,6.55162369290063e-11,5.62748552233084e-08,-0.99767427032407,0.999874821721399,104.990109460692,2.19721386924473,0.00235942484361552,-119.957281812229,-137.541648969969
"BOA06_20260117_052700.wav","BOA06","BO","A06","20260117","2026","01","17","052700",0,60,-98.8293297485039,7.12526789674149e-11,5.36041443016997e-08,-0.997345052557577,0.999685158038993,103.945586756064,2.19619833103543,0.0227171085022275,-119.605532457001,-136.943186960012
"BOA06_20260117_052700.wav","BOA06","BO","A06","20260117","2026","01","17","052700",1,60,-98.8387587794637,7.07270526115082e-11,5.44075019095616e-08,-0.997403474600446,0.999619518105772,104.503429649295,2.1966766160555,0.0165904270953775,-119.476257493846,-136.804467425682
"BOA06_20260117_052700.wav","BOA06","BO","A06","20260117","2026","01","17","052700",2,59.995283446712,-97.2312979059531,8.34251605469527e-11,6.08498696837952e-08,-0.997261754488738,0.99903093212191,104.853018444944,2.19360074988966,0.0427609613768358,-118.947279176534,-137.038903689098
"BOA06_20260117_053600.wav","BOA06","BO","A06","20260117","2026","01","17","053600",0,60,-99.4765530761437,6.85074661162781e-11,5.35504464511006e-08,-0.997444654879987,0.999860865813843,105.60912371697,2.19711553023729,0.00743180324065978,-119.840610453,-136.487226764898
"BOA06_20260117_053600.wav","BOA06","BO","A06","20260117","2026","01","17","053600",1,60,-99.5436084837512,6.77201519324431e-11,5.49388719626099e-08,-0.997537744138323,0.999903630649413,104.999441390944,2.1972185817025,0.00175140812668633,-119.865762522295,-137.312511258612
"BOA06_20260117_053600.wav","BOA06","BO","A06","20260117","2026","01","17","053600",2,59.995283446712,-99.5055728082996,6.89086897566015e-11,6.20279220228282e-08,-0.997780605259049,0.999823257643272,105.515610463395,2.19717939518605,0.00479554700615105,-119.848563339921,-136.904852642101
"BOA06_20260117_054500.wav","BOA06","BO","A06","20260117","2026","01","17","054500",0,60,-99.5574739190956,6.66506290499816e-11,5.40372279512645e-08,-0.997536197744084,0.999902421498288,104.763749646807,2.19722034609219,0.00148587002296432,-119.886813695064,-136.440236931075
"BOA06_20260117_054500.wav","BOA06","BO","A06","20260117","2026","01","17","054500",1,60,-99.1015004801746,7.07036653966145e-11,5.59146695933104e-08,-0.997474209377157,0.999897875140654,105.006029558274,2.19721333672523,0.00234642871085692,-119.470573843664,-137.202223910577
"BOA06_20260117_054500.wav","BOA06","BO","A06","20260117","2026","01","17","054500",2,59.995283446712,-98.9977697406449,7.19231109483317e-11,6.38081894793734e-08,-0.997748184590419,0.99986435103433,105.092882770204,2.19707339049724,0.00868483271897031,-119.499231544549,-137.471118940902
"BOA06_20260117_055400.wav","BOA06","BO","A06","20260117","2026","01","17","055400",0,60,-99.0711912435936,7.45301881309507e-11,5.53749657022814e-08,-0.997311781218778,0.99985385515172,104.873303167756,2.19719393635235,0.00388842573374188,-119.483721370628,-136.134664683867
"BOA06_20260117_055400.wav","BOA06","BO","A06","20260117","2026","01","17","055400",1,60,-99.0436911064949,7.63782304393476e-11,5.95326341902651e-08,-0.997437359642858,0.999835965177021,105.418291593944,2.19687226463229,0.0132070468137293,-119.534158483753,-136.881839815704
"BOA06_20260117_055400.wav","BOA06","BO","A06","20260117","2026","01","17","055400",2,59.995283446712,-97.4553438917835,1.19506562192643e-10,5.5387324003222e-08,-0.995693987173279,0.993870117703891,118.92551835981,2.19604889042927,0.0231870755138998,-119.146991691219,-136.219931146161
"BOA06_20260117_060300.wav","BOA06","BO","A06","20260117","2026","01","17","060300",0,60,-98.7340406489386,7.68996075574273e-11,6.00570035060345e-08,-0.997442387619105,0.999867959843183,105.422345181321,2.19714062888388,0.00648105551139623,-119.185220846163,-137.347657658538
"BOA06_20260117_060300.wav","BOA06","BO","A06","20260117","2026","01","17","060300",1,60,-97.6692316831482,8.12411380881324e-11,1.0273598379917e-07,-0.998419697902998,0.999648747638878,105.579120332042,2.19717953476234,0.00470298585752084,-118.407181116749,-137.127976531337
